update,total_steps,FPS,mean_reward,median_reward,min_reward,max_reward
220,1752080,99,-0.5669000000000002,-0.5665,-0.982,0.001
221,1760080,99,-0.43766666666666665,-0.501,-0.982,0.002
222,1768080,99,-0.4775666666666666,-0.658,-0.918,0.003
223,1776080,99,-0.5721,-0.677,-0.982,0.003
224,1784080,99,-0.6082,-0.75,-0.986,0.002
225,1792080,99,-0.6138666666666667,-0.742,-0.986,0.002
226,1800080,99,-0.5273666666666667,-0.5425,-0.986,0.002
227,1808080,99,-0.4936000000000001,-0.5825,-0.978,0.003
228,1816080,99,-0.5600666666666668,-0.631,-0.968,0.003
229,1824080,100,-0.5747333333333334,-0.736,-0.984,0.205
230,1832080,100,-0.6133666666666667,-0.736,-0.984,0.003
231,1840080,100,-0.6460333333333332,-0.734,-0.951,0.001
232,1848080,100,-0.6221333333333334,-0.742,-0.952,0.001
233,1856080,100,-0.6775333333333332,-0.8049999999999999,-0.992,0.001
234,1864080,100,-0.6305666666666666,-0.6855,-0.99,0.001
235,1872080,100,-0.5655,-0.7015,-0.986,0.001
236,1880080,100,-0.5431333333333332,-0.6575,-0.966,0.001
237,1888080,100,-0.5584,-0.6495,-0.972,0.002
238,1896080,100,-0.5792999999999999,-0.683,-0.972,0.003
239,1904080,100,-0.5801,-0.68,-0.992,0.003
240,1912080,100,-0.5575666666666667,-0.6715,-0.992,0.002
241,1920080,100,-0.5808333333333333,-0.765,-0.986,0.003
242,1928080,100,-0.7251333333333333,-0.8314999999999999,-0.986,0.003
243,1936080,100,-0.6559,-0.764,-0.97,0.003
244,1944080,100,-0.5870666666666667,-0.692,-0.989,0.004
245,1952080,100,-0.6612666666666667,-0.7825,-0.992,0.003
246,1960080,100,-0.5697333333333333,-0.7665,-0.982,0.002
247,1968080,100,-0.6498000000000002,-0.791,-0.982,0.003
248,1976080,100,-0.5848333333333333,-0.694,-0.98,0.003
249,1984080,100,-0.5493333333333333,-0.6699999999999999,-0.981,0.003
250,1992080,100,-0.5946,-0.7025,-0.981,0.001
251,2000080,100,-0.5563000000000001,-0.663,-0.951,0.001
252,2008080,100,-0.4597666666666667,-0.5475000000000001,-0.951,0.002
253,2016080,100,-0.45156666666666667,-0.5135000000000001,-0.885,0.002
254,2024080,100,-0.6160666666666667,-0.708,-0.974,0.001
255,2032080,100,-0.66,-0.697,-0.994,0.0
256,2040080,100,-0.5770333333333333,-0.6995,-0.984,0.001
257,2048080,100,-0.5928666666666665,-0.706,-0.95,0.002
258,2056080,100,-0.5978333333333333,-0.7110000000000001,-0.96,0.002
259,2064080,100,-0.6590666666666666,-0.7155,-0.988,0.002
260,2072080,100,-0.5852999999999999,-0.7044999999999999,-0.988,0.002
261,2080080,100,-0.5207666666666666,-0.6665000000000001,-0.988,0.002
262,2088080,100,-0.5950333333333333,-0.7335,-0.982,0.003
263,2096080,100,-0.6926333333333332,-0.7645,-0.974,0.003
264,2104080,100,-0.6263000000000001,-0.7255,-0.965,0.002
265,2112080,100,-0.5991666666666667,-0.775,-0.992,0.002
266,2120080,100,-0.6474666666666666,-0.734,-0.97,0.001
267,2128080,100,-0.6019666666666666,-0.7110000000000001,-0.948,0.002
268,2136080,100,-0.5414666666666667,-0.681,-0.99,0.002
269,2144080,100,-0.7024666666666666,-0.789,-0.99,0.001
270,2152080,101,-0.6330666666666667,-0.7030000000000001,-0.986,0.002
271,2160080,101,-0.6156666666666667,-0.6675,-0.984,0.003
272,2168080,101,-0.6487,-0.7435,-0.966,0.003
273,2176080,101,-0.5732333333333333,-0.7375,-0.98,0.002
274,2184080,101,-0.6800333333333334,-0.7295,-0.98,0.001
275,2192080,101,-0.6329333333333335,-0.763,-0.984,0.002
276,2200080,101,-0.6908,-0.752,-0.984,0.002
277,2208080,101,-0.6604333333333333,-0.8005,-0.991,0.002
278,2216080,101,-0.5660666666666666,-0.669,-0.991,0.002
279,2224080,101,-0.5783666666666668,-0.679,-0.942,0.002
280,2232080,101,-0.5800333333333333,-0.6599999999999999,-0.992,0.004
281,2240080,101,-0.5038666666666667,-0.5245,-0.992,0.004
282,2248080,101,-0.5254,-0.663,-0.986,0.003
283,2256080,101,-0.6202,-0.7969999999999999,-0.994,0.002
284,2264080,101,-0.5556333333333332,-0.6925,-0.994,0.002
285,2272080,101,-0.5464333333333333,-0.6295,-0.984,0.002
286,2280080,101,-0.5972999999999999,-0.6970000000000001,-0.984,0.002
287,2288080,101,-0.5894666666666666,-0.744,-0.978,0.002
288,2296080,101,-0.5474333333333334,-0.6435,-0.913,0.003
289,2304080,101,-0.7499666666666667,-0.8285,-0.979,0.0
290,2312080,101,-0.6678333333333334,-0.791,-0.986,0.002
291,2320080,101,-0.5724999999999999,-0.6255,-0.982,0.002
292,2328080,101,-0.6817,-0.768,-0.982,0.002
293,2336080,101,-0.6446000000000001,-0.8005,-0.958,0.002
294,2344080,101,-0.6591666666666668,-0.808,-0.986,0.002
295,2352080,101,-0.5932999999999999,-0.767,-0.986,0.002
296,2360080,101,-0.5761999999999999,-0.641,-0.991,0.002
297,2368080,101,-0.6154666666666666,-0.738,-0.991,0.002
298,2376080,101,-0.5550999999999999,-0.709,-0.95,0.002
299,2384080,101,-0.5928333333333333,-0.761,-0.988,0.002
300,2392080,101,-0.5067666666666668,-0.6495,-0.988,0.002
301,2400080,101,-0.6874000000000001,-0.7865,-0.99,0.002
302,2408080,101,-0.6691333333333335,-0.79,-0.99,0.002
303,2416080,101,-0.5326666666666666,-0.6285000000000001,-0.966,0.002
304,2424080,101,-0.5787333333333333,-0.75,-0.962,0.002
305,2432080,101,-0.6631,-0.788,-0.987,0.001
306,2440080,101,-0.5945333333333332,-0.7064999999999999,-0.954,0.003
307,2448080,101,-0.5100000000000001,-0.6295,-0.966,0.003
308,2456080,101,-0.4594,-0.498,-0.982,0.003
309,2464080,101,-0.5280666666666667,-0.5825,-0.982,0.003
310,2472080,101,-0.5725666666666667,-0.5974999999999999,-0.983,0.001
311,2480080,101,-0.6044,-0.73,-0.986,0.002
312,2488080,101,-0.6293333333333334,-0.742,-0.986,0.004
313,2496080,101,-0.5880666666666665,-0.7350000000000001,-0.969,0.001
314,2504080,101,-0.5689333333333333,-0.6415,-0.969,0.001
315,2512080,101,-0.5337333333333334,-0.6755,-0.98,0.002
316,2520080,101,-0.6890999999999999,-0.8140000000000001,-0.994,0.001
317,2528080,101,-0.6058666666666668,-0.705,-0.994,0.002
318,2536080,101,-0.5512333333333335,-0.6765000000000001,-0.991,0.002
319,2544080,101,-0.7388333333333333,-0.8434999999999999,-0.991,0.002
320,2552080,101,-0.6542,-0.8075,-0.99,0.003
321,2560080,101,-0.5795333333333333,-0.589,-0.986,0.004
322,2568080,101,-0.6433333333333333,-0.7585,-0.96,0.001
323,2576080,101,-0.6108666666666667,-0.727,-0.969,0.002
324,2584080,101,-0.5314333333333334,-0.594,-0.969,0.003
325,2592080,101,-0.49176666666666674,-0.604,-0.978,0.015
326,2600080,101,-0.5737000000000001,-0.699,-0.954,0.015
327,2608080,101,-0.6011333333333334,-0.6225,-0.975,0.002
328,2616080,101,-0.5986666666666667,-0.741,-0.981,0.003
329,2624080,102,-0.7037,-0.8534999999999999,-0.989,0.003
330,2632080,102,-0.6833333333333333,-0.8165,-0.98,0.003
331,2640080,102,-0.689,-0.787,-0.986,0.001
332,2648080,102,-0.5691666666666666,-0.6445000000000001,-0.962,0.002
333,2656080,102,-0.6538666666666667,-0.752,-0.992,0.003
334,2664080,102,-0.6910333333333333,-0.7675000000000001,-0.992,0.002
335,2672080,102,-0.6030333333333334,-0.753,-0.995,0.002
336,2680080,102,-0.6339666666666665,-0.774,-0.995,0.002
337,2688080,102,-0.5527333333333334,-0.655,-0.97,0.002
338,2696080,102,-0.5715,-0.6799999999999999,-0.988,0.002
